attScalar, iteration, data, tp, tn, fp, fn, accuracy, precision, recall, F-1 measure
0.9,38,test,259,608,249,598,0.296382730455,0.509842519685,0.302217036173,0.379487179487
0.9,39,train,1119,2321,644,1846,0.297301854975,0.634713556438,0.377403035413,0.473350253807
0.9,39,test,269,603,254,588,0.305134189032,0.514340344168,0.313885647608,0.389855072464
0.8,0,train,555,2474,491,2410,0.176391231029,0.530592734226,0.18718381113,0.276738967838
0.8,0,test,146,731,126,711,0.158693115519,0.536764705882,0.170361726954,0.258635961027
0.8,1,train,249,2736,229,2716,0.0806070826307,0.520920502092,0.0839797639123,0.144641301191
0.8,1,test,60,792,65,797,0.0729288214702,0.48,0.0700116686114,0.122199592668
0.8,2,train,161,2841,124,2804,0.0480607082631,0.564912280702,0.0543001686341,0.0990769230769
0.8,2,test,36,821,36,821,0.0420070011669,0.5,0.0420070011669,0.0775026910657
0.8,3,train,143,2868,97,2822,0.0404721753794,0.595833333333,0.0482293423272,0.0892355694228
0.8,3,test,33,827,30,824,0.036756126021,0.52380952381,0.0385064177363,0.0717391304348
0.8,4,train,133,2882,83,2832,0.0364249578415,0.615740740741,0.0448566610455,0.0836215026721
0.8,4,test,30,831,26,827,0.0326721120187,0.535714285714,0.0350058343057,0.065717415115
0.8,5,train,147,2876,89,2818,0.0397976391231,0.622881355932,0.0495784148398,0.0918462980319
0.8,5,test,32,828,29,825,0.0355892648775,0.524590163934,0.0373395565928,0.0697167755991
0.8,6,train,150,2880,85,2815,0.039629005059,0.63829787234,0.0505902192243,0.09375
0.8,6,test,35,833,24,822,0.034422403734,0.593220338983,0.0408401400233,0.0764192139738
0.8,7,train,180,2864,101,2785,0.0473861720067,0.640569395018,0.0607082630691,0.110905730129
0.8,7,test,42,828,29,815,0.0414235705951,0.591549295775,0.049008168028,0.0905172413793
0.8,8,train,541,2597,368,2424,0.15328836425,0.595159515952,0.182462057336,0.279297883325
0.8,8,test,154,754,103,703,0.149941656943,0.599221789883,0.179696616103,0.276481149013
0.8,9,train,262,2815,150,2703,0.0694772344013,0.635922330097,0.0883642495784,0.155167308262
0.8,9,test,77,817,40,780,0.0682613768961,0.65811965812,0.0898483080513,0.158110882957
0.8,10,train,602,2604,361,2363,0.16239460371,0.6251298027,0.203035413153,0.306517311609
